,name,wikidata,dates,gender,citizenship,birthplace,birth country,place of death,country of death,language,instrument
0,Nicolaus Bruhns,http://www.wikidata.org/entity/Q57369,1665-1697,male,"['Denmark', 'Duchy of Schleswig']",Schwabstedt,Germany,Husum,Germany,German,organ
1,Marc-Antoine Charpentier,http://www.wikidata.org/entity/Q55524,1643-1704,male,Kingdom of France,Paris,France,Paris,France,French,"['organ', 'voice']"
2,Girolamo Dalla Casa,http://www.wikidata.org/entity/Q354023,1543-1601,male,Republic of Venice,Udine,Italy,Venice,Italy,,
3,Arcangelo Corelli,http://www.wikidata.org/entity/Q164475,1653-1713,male,Papal States,Fusignano,Italy,Rome,Italy,"['Latin', 'Italian']",violin
4,John Bennet,http://www.wikidata.org/entity/Q374718,1575-1614,male,England,Lancashire,United Kingdom,,,English,
5,Maddalena Casulana,http://www.wikidata.org/entity/Q269690,1544-1590,female,,Casole d'Elsa,Italy,,,,flute
6,Agostino Agazzari,http://www.wikidata.org/entity/Q395563,1578-1640,male,,Siena,Italy,Siena,Italy,Italian,organ
7,Adriano Banchieri,http://www.wikidata.org/entity/Q347804,1568-1634,male,,Bologna,Italy,Bologna,Italy,Italian,organ
8,Scipione Dentice,http://www.wikidata.org/entity/Q290052,1560-1635,male,,Naples,Italy,Naples,Italy,,organ
9,John Dowland,http://www.wikidata.org/entity/Q207355,1563-1626,male,Kingdom of England,London,United Kingdom,London,United Kingdom,English,lute
10,William Byrd,http://www.wikidata.org/entity/Q208375,1543-1623,male,Kingdom of England,London,United Kingdom,Stondon Massey,United Kingdom,,organ
11,Thomas Campion,http://www.wikidata.org/entity/Q455618,1567-1620,male,"['England', 'Kingdom of England']",London,United Kingdom,London,United Kingdom,"['Latin', 'English']",
12,Sigismondo D'India,http://www.wikidata.org/entity/Q457145,1582-1629,male,,Naples,Italy,Modena,Italy,Italian,
13,Giulio Caccini,http://www.wikidata.org/entity/Q215308,1551-1618,male,Grand Duchy of Tuscany,Rome,Italy,Florence,Italy,Italian,"['viol', 'voice']"
14,Giovanni Battista Bassani,http://www.wikidata.org/entity/Q465565,1650-1716,male,Republic of Venice,Padua,Italy,Bergamo,Italy,Italian,"['organ', 'violin']"
15,Antonio Cifra,http://www.wikidata.org/entity/Q601590,1584-1629,male,,Province of Latina,Italy,Loreto,Italy,Italian,
16,Baldassare Donato,http://www.wikidata.org/entity/Q804795,1530-1603,male,Republic of Venice,,,Venice,Italy,Italian,
17,Melchior Borchgrevinck,http://www.wikidata.org/entity/Q469278,1570-1632,male,Denmark,Netherlands,Kingdom of the Netherlands,Copenhagen,Denmark,,
18,Gregor Aichinger,http://www.wikidata.org/entity/Q633088,1564-1628,male,Germany,Regensburg,Germany,Augsburg,Germany,German,"['organ', 'pipe organ']"
19,Fabrizio Dentice,http://www.wikidata.org/entity/Q635911,1593-1581,male,,Naples,Italy,Naples,Italy,,"['viol', 'lute']"
20,Hans Brachrogge,http://www.wikidata.org/entity/Q472819,1590-1638,male,Denmark,,,,,,
21,Giovanni Francesco Anerio,http://www.wikidata.org/entity/Q711181,1567-1630,male,Italians,Rome,Italy,Graz,Austria,Italian,
22,Giovanni Bassano,http://www.wikidata.org/entity/Q494292,1558-1617,male,Republic of Venice,,,Venice,Italy,Latin,
23,Filippo Azzaiolo,http://www.wikidata.org/entity/Q717917,1530-1569,male,,Bologna,Italy,Bologna,Italy,,
24,Felice Anerio,http://www.wikidata.org/entity/Q549044,1560-1614,male,Italians,Rome,Italy,Rome,Italy,,
25,Christoph Demantius,http://www.wikidata.org/entity/Q497554,1567-1643,male,Germany,Liberec,Czech Republic,Freiberg,Germany,German,
26,Giovanni Animuccia,http://www.wikidata.org/entity/Q500507,1500-1571,male,Italians,Florence,Italy,Rome,Italy,,
27,Giovanni Croce,http://www.wikidata.org/entity/Q920564,1557-1609,male,Republic of Venice,Chioggia,Italy,Venice,Italy,Italian,
28,Lodovico Agostini,http://www.wikidata.org/entity/Q946839,1534-1590,male,,Ferrara,Italy,Ferrara,Italy,Italian,voice
29,Tomaso Cecchino,http://www.wikidata.org/entity/Q1117014,1580-1644,male,Republic of Venice,Verona,Italy,Hvar,Croatia,Italian,
30,Guillaume Bouzignac,http://www.wikidata.org/entity/Q983567,1587-1643,male,France,Narbonne,France,,,French,
31,Ippolito Baccusi,http://www.wikidata.org/entity/Q1493373,1550-1609,male,,Mantua,Italy,Verona,Italy,,
32,Francesco Corteccia,http://www.wikidata.org/entity/Q1230392,1502-1571,male,,Florence,Italy,Florence,Italy,Italian,pipe organ
33,Michael East,http://www.wikidata.org/entity/Q1927338,1580-1648,male,United Kingdom of Great Britain and Ireland,London,United Kingdom,Lichfield,United Kingdom,English,organ
34,Richard Dering,http://www.wikidata.org/entity/Q2149323,1580-1630,male,United Kingdom of Great Britain and Ireland,London,United Kingdom,Greater London,United Kingdom,English,organ
35,Antonio Archilei,http://www.wikidata.org/entity/Q2857177,1500-1612,male,,Albano Laziale,Italy,Florence,Italy,,"['lute', 'voice']"
36,Vittoria Aleotti,http://www.wikidata.org/entity/Q2707991,1573-1620,female,,Ferrara,Italy,,,,organ
37,Nicolao Dorati,http://www.wikidata.org/entity/Q2754386,1513-1593,male,,Province of Lucca,Italy,Lucca,Italy,,trombone
38,Luca Bati,http://www.wikidata.org/entity/Q2424465,1546-1608,male,,Florence,Italy,Florence,Italy,,pipe organ
39,Severo Bonini,http://www.wikidata.org/entity/Q3480834,1582-1663,male,,Florence,Italy,Florence,Italy,,organ
40,Jean de Castro,http://www.wikidata.org/entity/Q3175340,1540-1600,male,Prince-Bishopric of Liège,Liège,Belgium,Cologne,Germany,French,
41,Domenico Bianchini,http://www.wikidata.org/entity/Q3712917,1510-1576,male,Republic of Venice,Udine,Italy,Venice,Italy,,lute
42,Thomas Bateson,http://www.wikidata.org/entity/Q3524896,1630,male,England,,,Dublin,Republic of Ireland,English,organ
43,Fabio Costantini,http://www.wikidata.org/entity/Q3737659,1570-1644,male,,Staffolo,Italy,Tivoli,Italy,,
44,Francesco Bianciardi,http://www.wikidata.org/entity/Q3749629,1570-1607,male,,Casole d'Elsa,Italy,Siena,Italy,,organ
45,Giulio Belli,http://www.wikidata.org/entity/Q3769496,1560-1621,male,,Longiano,Italy,Imola,Italy,,
46,Richard Carlton,http://www.wikidata.org/entity/Q3934778,1558-1638,male,United Kingdom of Great Britain and Ireland,,,,,,
47,Camillo Cortellini,http://www.wikidata.org/entity/Q3651486,1561-1630,male,,Bologna,Italy,Bologna,Italy,,
48,Michael Cavendish,http://www.wikidata.org/entity/Q3856134,1565-1628,male,United Kingdom of Great Britain and Ireland,,,London,United Kingdom,,
49,Bartolomeo Barbarino,http://www.wikidata.org/entity/Q4865504,1617,male,,,,,,,
50,Joan Brudieu,http://www.wikidata.org/entity/Q4894403,1520-1591,male,"['France', 'Crown of Aragon']",Limoges,France,La Seu d'Urgell,Spain,"['Latin', 'Spanish', 'Catalan']",
51,Girolamo Conversi,http://www.wikidata.org/entity/Q5564760,1572-1575,male,,,,,,,
52,Girolamo Belli,http://www.wikidata.org/entity/Q5564752,1552-1620,male,,Argenta,Italy,Argenta,Italy,,
53,Giovanni Battista Conforti,http://www.wikidata.org/entity/Q5563724,1550-1570,male,,,,,,,
54,Ippolito Ciera,http://www.wikidata.org/entity/Q6065392,1546-1561,male,,,,,,,
55,Thomas Brewer,http://www.wikidata.org/entity/Q7787872,1611-1665,male,Kingdom of England,,,,,,
56,Simon Boyleau,http://www.wikidata.org/entity/Q7518324,1544-1586,male,France,,,,,French,
57,Simone Balsamino,http://www.wikidata.org/entity/Q7520256,1596,male,Italy,,,,,Italian,
58,Giovanni Battista Crivelli,http://www.wikidata.org/entity/Q16206148,1652,male,,Scandiano,Italy,Modena,Italy,,organ
59,Valerio Bona,http://www.wikidata.org/entity/Q16859665,1560-1620,male,,Brescia,Italy,,,,
60,Giovanni Contino,http://www.wikidata.org/entity/Q20100441,1513-1574,male,,,,,,,
61,Francesco Adriani,http://www.wikidata.org/entity/Q28548877,1539-1575,male,,San Severino Marche,Italy,Rome,Italy,,
62,William Cobbold,http://www.wikidata.org/entity/Q43234079,1560-1639,male,,,,,,,
63,Giovanni Boschetto Boschetti,http://www.wikidata.org/entity/Q55225893,1570-1622,male,,Orte,Italy,Loreto,Italy,,
64,Lelio Bertani,http://www.wikidata.org/entity/Q112536290,1550-1620,male,,,,Brescia,Italy,,
65,Giovanni Battista Chinelli,http://www.wikidata.org/entity/Q57271845,1610-1677,male,,,,,,,
66,Giovanni Del Turco,http://www.wikidata.org/entity/Q56006649,1577-1647,male,,Florence,Italy,,,,
67,Jacopo Corfini,http://www.wikidata.org/entity/Q82008847,1540-1591,male,,,,,,,
68,Giovanni Battista Caletti,http://www.wikidata.org/entity/Q96070821,1577-1642,male,Germany,Crema,Italy,,,"['German', 'Italian']",
69,Giulio Bonagiunta,http://www.wikidata.org/entity/Q108937597,1530-1571,male,,,,,,,
70,Giovanni Gabrieli,http://www.wikidata.org/entity/Q34624,1554-1612,male,Republic of Venice,Venice,Italy,Venice,Italy,Italian,organ
71,Henry VIII,http://www.wikidata.org/entity/Q38370,1491-1547,male,Kingdom of England,Palace of Placentia,United Kingdom,Palace of Whitehall,United Kingdom,"['French', 'Latin', 'Italian', 'English']",
72,Sebastian Knüpfer,http://www.wikidata.org/entity/Q71496,1633-1676,male,Germany,Aš,Czech Republic,Leipzig,Germany,German,
73,Thomas Ford,http://www.wikidata.org/entity/Q354266,1580-1648,male,England,,,London,United Kingdom,English,viol
74,Vincenzo Galilei,http://www.wikidata.org/entity/Q313765,1520-1591,male,"['Grand Duchy of Tuscany', 'Duchy of Florence']",Santa Maria a Monte,Italy,Florence,Italy,Italian,lute
75,Josquin des Prez,http://www.wikidata.org/entity/Q143100,1450-1521,male,"['France', 'Habsburg Netherlands']",Vermandois,France,Condé-sur-l'Escaut,France,French,
76,Luca Marenzio,http://www.wikidata.org/entity/Q316532,1553-1599,male,"['Republic of Venice', 'Papal States']",Coccaglio,Italy,Rome,Italy,Italian,
77,Heinrich Isaac,http://www.wikidata.org/entity/Q316668,1450-1517,male,County of Flanders,Flanders,Belgium,Florence,Italy,Latin,organ
78,Valentin Haussmann,http://www.wikidata.org/entity/Q249689,1560-1614,male,Germany,Gerbstedt,Germany,Gerbstedt,Germany,German,pipe organ
79,Daniel Friderici,http://www.wikidata.org/entity/Q322254,1584-1638,male,Germany,Querfurt,Germany,Rostock,Germany,German,
80,Biagio Marini,http://www.wikidata.org/entity/Q110224592,1587-1663,,,,,,,,
81,Hans Leo Hassler,http://www.wikidata.org/entity/Q164882,1564-1612,male,Germany,Nuremberg,Germany,Frankfurt am Main,Germany,German,organ
82,Johannes Jeep,http://www.wikidata.org/entity/Q428075,1581-1644,male,Germany,Dransfeld,Germany,Hanau,Germany,German,organ
83,Carlo Gesualdo,http://www.wikidata.org/entity/Q192958,1560-1613,male,Kingdom of Naples,Naples,Italy,Gesualdo,Italy,Italian,lute
84,Stefano Felis,http://www.wikidata.org/entity/Q431549,1550-1603,male,,Bari,Italy,Bari,Italy,,
85,Luzzasco Luzzaschi,http://www.wikidata.org/entity/Q445581,1544-1607,male,,Ferrara,Italy,Ferrara,Italy,Italian,pipe organ
86,Thomas Lupo,http://www.wikidata.org/entity/Q353855,1571-1628,male,United Kingdom of Great Britain and Ireland,London,United Kingdom,London,United Kingdom,,viol
87,John Farmer,http://www.wikidata.org/entity/Q1335446,1570-1591,male,United Kingdom of Great Britain and Ireland,Nottingham,United Kingdom,Oxford,United Kingdom,,
88,Girolamo Frescobaldi,http://www.wikidata.org/entity/Q209212,1583-1643,male,"['Papal States', 'Duchy of Ferrara']",Ferrara,Italy,Rome,Italy,Italian,"['organ', 'harpsichord']"
89,Andrea Gabrieli,http://www.wikidata.org/entity/Q217317,1533-1585,male,Republic of Venice,Venice,Italy,Venice,Italy,Italian,organ
90,Gioseffo Guami,http://www.wikidata.org/entity/Q610708,1540-1611,male,,Lucca,Italy,Lucca,Italy,,"['violin', 'pipe organ']"
91,Francisco Guerrero,http://www.wikidata.org/entity/Q470568,1528-1599,male,Crown of Castile,Seville,Spain,Seville,Spain,Spanish,organ
92,Marco da Gagliano,http://www.wikidata.org/entity/Q540638,1582-1643,male,,Florence,Italy,Florence,Italy,Italian,
93,Andreas Hammerschmidt,http://www.wikidata.org/entity/Q497864,1612-1675,male,Germany,Most,Czech Republic,Zittau,Germany,German,"['organ', 'pipe organ']"
94,Leonhard Lechner,http://www.wikidata.org/entity/Q683132,1553-1606,male,Germany,South Tyrol,Italy,Stuttgart,Germany,German,
95,Costanzo Festa,http://www.wikidata.org/entity/Q937584,1490-1545,male,,Piedmont,Italy,Rome,Italy,Italian,
96,Alessandro Grandi,http://www.wikidata.org/entity/Q948575,1590-1630,male,Republic of Venice,Ferrara,Italy,Bergamo,Italy,Italian,
97,Giovanni Giacomo Gastoldi,http://www.wikidata.org/entity/Q964231,1582-1609,male,,Caravaggio,Italy,Mantua,Italy,Italian,voice
98,John Hilton the younger,http://www.wikidata.org/entity/Q1289313,1599-1657,male,United Kingdom of Great Britain and Ireland,Cambridge,United Kingdom,Westminster,United Kingdom,English,
99,Ruggiero Giovannelli,http://www.wikidata.org/entity/Q1369480,1560-1625,male,,Velletri,Italy,Rome,Italy,,
100,Giles Farnaby,http://www.wikidata.org/entity/Q1343764,1565-1640,male,England,London,United Kingdom,City of London,United Kingdom,English,harpsichord
101,Giovanni Piero Manenti,http://www.wikidata.org/entity/Q1526316,1535-1597,male,,Bologna,Italy,Florence,Italy,,
102,Anthony Holborne,http://www.wikidata.org/entity/Q1676220,1545-1602,male,Kingdom of England,,,London,United Kingdom,English,cittern
103,Giovanni Pietro Flaccomio,http://www.wikidata.org/entity/Q1526322,1565-1617,male,,Milazzo,Italy,Turin,Italy,,
104,Giovanni de Macque,http://www.wikidata.org/entity/Q1403614,1550-1614,male,France,Valenciennes,France,Naples,Italy,French,organ
105,Simon Gintzler,http://www.wikidata.org/entity/Q1695832,1490-1547,male,Germany,South Tyrol,Italy,Trento,Italy,German,
106,Noé Faignient,http://www.wikidata.org/entity/Q2134295,1537-1578,male,,Cambrai,France,Antwerp,Belgium,,
107,George Kirbye,http://www.wikidata.org/entity/Q1997700,1565-1634,male,United Kingdom of Great Britain and Ireland,,,,,,
108,Robert Jones,http://www.wikidata.org/entity/Q18630239,1570-1617,male,,Monmouth,United Kingdom,,,,organ
109,Jhan Gero,http://www.wikidata.org/entity/Q1657883,1518-1555,male,,,,,,,
110,Alfonso Fontanelli,http://www.wikidata.org/entity/Q2062267,1557-1622,male,,Reggio Emilia,Italy,Rome,Italy,Italian,
111,Giovanni Ghizzolo,http://www.wikidata.org/entity/Q3107205,1580-1625,male,,Brescia,Italy,Novara,Italy,Italian,
112,Giovanni Ferretti,http://www.wikidata.org/entity/Q3107173,1540-1609,male,Republic of Venice,Venice,Italy,,,,
113,Ellis Gibbons,http://www.wikidata.org/entity/Q3723541,1573-1603,male,United Kingdom of Great Britain and Ireland,Cambridge,United Kingdom,,,,
114,Giacomo Fogliano,http://www.wikidata.org/entity/Q3805961,1468-1548,male,,Modena,Italy,Modena,Italy,,organ
115,John Holmes,http://www.wikidata.org/entity/Q3809346,1629,male,,,,,,,
116,Thomas Greaves,http://www.wikidata.org/entity/Q3990629,1604,male,United Kingdom of Great Britain and Ireland,,,,,,lute
117,Giulio Fiesco,http://www.wikidata.org/entity/Q5565265,1520-1586,male,,Ferrara,Italy,Ferrara,Italy,,
118,Edward Johnson,http://www.wikidata.org/entity/Q5343803,1545-1601,male,Kingdom of England,,,,,,
119,John Hilton the elder,http://www.wikidata.org/entity/Q6239329,1569-1608,male,Kingdom of England,,,,,English,"['pipe organ', 'voice']"
120,Maistre Jhan,http://www.wikidata.org/entity/Q6737089,1485-1538,male,France,,,Ferrara,Italy,,
121,Scipione Lacorcia,http://www.wikidata.org/entity/Q7434030,1585-1620,male,,Naples,Italy,,,Italian,
122,Sebastiano Festa,http://www.wikidata.org/entity/Q7442579,1495-1524,male,,,,Rome,Italy,,
123,Paolo Isnardi,http://www.wikidata.org/entity/Q16863445,1536-1596,male,,,,Ferrara,Italy,,
124,Antonio Gualtieri,http://www.wikidata.org/entity/Q16054417,1649,male,Republic of Venice,,,Venice,Italy,,
125,Johann Lyttich,http://www.wikidata.org/entity/Q20003638,1581-1611,male,,Plauen,Germany,,,,
126,Gabriele Fallamero,http://www.wikidata.org/entity/Q112456781,1584,male,,,,,,,
127,Andrea Feliciani,http://www.wikidata.org/entity/Q55227467,1596,male,,Siena,Italy,Siena,Italy,,
128,Camillo Lambardi,http://www.wikidata.org/entity/Q50316330,1560-1634,male,Kingdom of Naples,Naples,Italy,Naples,Italy,,
129,Thomas Hunt,http://www.wikidata.org/entity/Q99237806,1580-1658,male,,,,,,,
130,Giovan Battista Leonetti,http://www.wikidata.org/entity/Q107995775,1575-1617,male,,Crema,Italy,Crema,Italy,,
131,Girolamo Ferrari,http://www.wikidata.org/entity/Q113412847,1600-1664,male,,Mondondone,Italy,,,,
132,Henry Purcell,http://www.wikidata.org/entity/Q9695,1659-1695,male,Kingdom of England,Westminster,United Kingdom,Westminster,United Kingdom,English,"['harpsichord', 'pipe organ']"
133,Claudio Monteverdi,http://www.wikidata.org/entity/Q53068,1567-1643,male,Republic of Venice,Cremona,Italy,Venice,Italy,Italian,"['viol', 'pipe organ', 'viola da braccio']"
134,Girolamo Parabosco,http://www.wikidata.org/entity/Q29300,1524-1557,male,Republic of Venice,Piacenza,Italy,Venice,Italy,Italian,pipe organ
135,Giovanni Antonio Rigatti,http://www.wikidata.org/entity/Q142515,1615-1649,male,Republic of Venice,Venice,Italy,Venice,Italy,,
136,Cipriano de Rore,http://www.wikidata.org/entity/Q316074,1515-1565,male,Republic of Venice,Ronse,Belgium,Parma,Italy,Italian,
137,Francesco Rasi,http://www.wikidata.org/entity/Q363011,1574-1620,male,,Arezzo,Italy,,,Italian,voice
138,Claudio Merulo,http://www.wikidata.org/entity/Q380517,1533-1604,male,Republic of Venice,Correggio,Italy,Parma,Italy,Italian,"['organ', 'pipe organ']"
139,Jacob Regnart,http://www.wikidata.org/entity/Q267177,1540-1599,male,Southern Netherlands,Douai,France,Prague,Czech Republic,Dutch,
140,Michael Praetorius,http://www.wikidata.org/entity/Q108278,1571-1621,male,Duchy of Brunswick-Lüneburg,Creuzburg,Germany,Wolfenbüttel,Germany,Latin,organ
141,Philippe de Monte,http://www.wikidata.org/entity/Q277029,1521-1603,male,Spanish Netherlands,Mechelen,Belgium,Prague,Czech Republic,Dutch,
142,Thomas Morley,http://www.wikidata.org/entity/Q438141,1557-1603,male,"['England', 'Kingdom of England']",Norwich,United Kingdom,London,United Kingdom,English,"['organ', 'pipe organ']"
143,Giovanni Maria Nanino,http://www.wikidata.org/entity/Q706287,1543-1607,male,,Tivoli,Italy,Rome,Italy,Italian,
144,Thomas Ravenscroft,http://www.wikidata.org/entity/Q634595,1590-1633,male,United Kingdom of Great Britain and Ireland,Cheshire,United Kingdom,London,United Kingdom,English,
145,Salamone Rossi,http://www.wikidata.org/entity/Q713436,1570-1630,male,Duchy of Mantua,Mantua,Italy,Mantua,Italy,,violin
146,Giovanni Bernardino Nanino,http://www.wikidata.org/entity/Q723537,1560-1623,male,,Vallerano,Italy,Vallerano,Italy,,organ
147,Asprilio Pacelli,http://www.wikidata.org/entity/Q738001,1570-1623,male,,Stroncone,Italy,Warsaw,Poland,Italian,
148,Mogens Pedersøn,http://www.wikidata.org/entity/Q962427,1585-1623,male,Denmark,Copenhagen,Denmark,,,,
149,Giovanni Battista Mosto,http://www.wikidata.org/entity/Q1119331,1549-1596,male,Republic of Venice,Udine,Italy,Alba Iulia,Romania,,
