,Composer,Composer life dates
,,
298323,A. L. (Amelia Lehmann),1838-1903
3804,"Adler, Samuel",1928-
3935,"Adriaensen, Emanuel",1550-1604
3932,"Adriani, Francesco",1539-1575
3934,"Adriansen, Emanuel",1554-1604
4083,"Agazzari, Agostino",1578-1640
850071,"Agostini, Lodovico",1534-1590
4625,"Aichinger, Gregor",1564-1628
6627,"Alcock, Gilbert A.",1870-1954
6773,"Alcock, Sir Walter Galpin",1861-1947
6865,"Alderson, Albion Percy",1871-
851901,"Aleotti, Vittoria",1573-1620
7666,"Alison, Richard",1565-1610
11779,"Anerio, Felice",1560-1614
11808,"Anerio, Giovanni Francesco",1567-1630
11926,"Anger, Joseph Humfrey",1862-1913
11996,"Animuccia, Giovanni",1500-1571
12094,"Annibale, Padovano",1527-1575
12265,"Antalffy, Dezsö d'",1885-1945
13151,"Arcadelt, Jacob",1505-1568
13363,"Archilei, Antonio",1500-1612
13871,"Arkhangelʹskiĭ, Aleksandr Andreevich",1846-1924
14074,"Armes, Philip",1836-1908
15403,"Arnold, Charles",1871
15435,"Arnold, Denis",1926-1986
15477,"Arnold, George Benjamin",1832-1902
15619,"Arnold, Malcolm",1794-1873
17568,"Ashton, Archie Thomas Lee",1873-1943
931652,"Asola, Giovanni Matteo",1532-1609
931801,"Aubert, Louis Francois Marie",1877-1968
19959,"Audran, Edmond",1842-1901
851335,"Azzaiolo, Filippo",1530-1569
21605,"Baccusi, Ippolito",1550-1609
26132,"Bachmann, G. (Georges)",1848-1894
27925,"Baksa, Robert F.",1938
880101,"Balsamino, Simone",1596
935375,"Banchieri, Adriano",1568-1634
30743,"Barbarino, Bartolomeo",1617
30935,"Barberiis, Melchiorre de",1500-1549
31278,"Bardi, Giovanni de'",1534-1612
704391,"Barlow, Wayne",1912-1996
32133,"Barnby, Joseph",1838-1896
32878,"Barnett, John",1802-1890
33276,"Barnett, John Francis",1837-1916
891707,"Baron, Maurice",1889-1964
34075,"Barrett, William Alexander",1836-1891
34107,"Barri, Odoardo",1844-1920
1026048,"Bartolino, da Padova",1365-1405
936336,"Bartolozzi, Bruno",1911
35913,"Bassani, Giovanni Battista",1650-1716
882829,"Bassano, Giovanni",1558-1617
36272,"Bateson, Thomas",1630
36512,"Bati, Luca",1546-1608
36632,"Batson, Arthur Wellesley",1852
36761,"Batten, Robert, pseud",1902
874876,"Beale, William",1784-1854
936857,"Beauvarlet, Henricus",1575-1623
39214,"Becchi, Antonio di",1522-1568
40133,"Beeson, Jack",1921-2010
42290,"Beethoven, Ludwig van",1770-1827
45028,"Bell, W. H. (William Henry)",1873-1946
45301,"Bellerby, Edward Johnson",1858
45327,"Belli, Girolamo",1552-1620
45329,"Belli, Giulio",1560-1621
47599,"Bennet, John",1575-1614
48038,"Bennett, Richard Rodney",1936
48984,"Benson, Lionel",1849
49426,"Berchem, Jaquet",1505-1565
939179,"Bernardi, Steffano",1585-1636
52651,"Bertani, Lelio",1550-1620
53489,"Besard, Jean Baptiste",1567-1617
54789,"Bianchini, Domenico",1510-1576
907467,"Bianciardi, Francesco",1570-1607
727064,"Bingham, Seth",1882-1972
939792,"Birtwistle, Harrison",1934
60035,"Bland, John",1795
628916,"Bloom, Robert",1908-1994
62506,"Blyton, Carey",1932
65146,"Bolognini, Bernardo",1570-1605
65268,"Bona, Valerio",1560-1620
65277,"Bonagiunta, Giulio",1530-1571
66046,"Bonini, Severo",1582-1663
66068,"Bonnamy, ́Emile",1860
66938,"Borchgrevinck, Melchior",1570-1632
894091,"Borowski, Felix",1872-1956
68038,"Boschetti, Giovanni Boschetto",1570-1622
851150,"Bose, Hans-Jürgen von",1953
844552,"Bouzignac, Guillaume",1587-1643
70712,"Boyleau, Simon",1544-1586
70861,"Brachrogge, Hans",1590-1638
71231,"Bradley, Joseph",1965
882773,"Bramson, Neil",1930-
73728,"Branscombe, Edward",1931
