,Composer,Composer life dates
879004,16th century madrigals,
298323,A. L. (Amelia Lehmann),
3722,"Adlam, Frank",
3804,"Adler, Samuel",1928-
3935,"Adriaensen, Emanuel",approximately 1550-1604
3932,"Adriani, Francesco",
3934,"Adriansen, Emanuel",approximately 1554-1604
4080,"Agazzari, Agostino",
850071,"Agostini, Lodovico",1534-1590
4625,"Aichinger, Gregor",1564-1628
6627,"Alcock, Gilbert A.",
6773,"Alcock, Sir Walter Galpin",
6872,"Alderson, Albion Percy",1871-
851901,"Aleotti, Vittoria",approximately 1573-approximately 1620
915207,"Aleotti, Vittoria",
807778,"Alexander, Lucy A.",
7664,"Alison, Richard",active 1592-1606
930299,"Alison, Richard",
877536,An Elizabethan celebration,
11781,"Anerio, Felice",approximately 1560-1614
11808,"Anerio, Giovanni Francesco",-1630
11843,"Angel, Alfred",
11926,"Anger, Joseph Humfrey",
11996,"Animuccia, Giovanni",-1571
12093,"Annibale, Padovano",1527-1575
12265,"Antalffy, Dezsö d'",
13153,"Arcadelt, Jacob",approximately 1505-1568
13363,"Archilei, Antonio",
13871,"Arkhangelʹskiĭ, Aleksandr Andreevich",1846-1924
14074,"Armes, Philip",
15403,"Arnold, Charles",
15435,"Arnold, Denis",
15477,"Arnold, George Benjamin",
15619,"Arnold, Malcolm",
767276,"Arroyo, Hanzel",
17568,"Ashton, Archie Thomas Lee",
848090,"Asola, Giovanni Matteo",1532?-1609
931652,"Asola, Giovanni Matteo",c1532-1609
931801,"Aubert, L. F. M.",
19959,"Audran, Edmond",1842-1901
851335,"Azzaiolo, Filippo",active 1557-1569
21605,"Baccusi, Ippolito",
26133,"Bachmann, G. (Georges)",-1894
27925,"Baksa, Robert F.",
880101,"Balsamino, Simone",active 16th century
935372,"Banchieri, Adriano",1568-1634
29899,"Bancroft, Eric",
30743,"Barbarino, Bartolomeo",
30935,"Barberiis, Melchiorre de",
31269,"Bardi, Benno",
31278,"Bardi, Giovanni de ].",
704391,"Barlow, Wayne",1912-1996
32331,"Barnby, Joseph",1838-1896
32823,"Barnett, John",1802-1890
33275,"Barnett, John Francis",1837-1916
891707,"Baron, Maurice",1889-1964
33579,"Barraja, Enrico",
34075,"Barrett, William Alexander",1836-1891
34153,"Barri, Odoardo",1844-1920
35624,"Bartolino, da Padova",
936336,"Bartolozzi, Bruno",1911
35913,"Bassani, Giovanni Battista",approximately 1650-1716
882829,"Bassano, Giovanni",active 1585-1615
36266,"Bateson, Thomas",
36512,"Bati, Luca",1546-1608
36632,"Batson, Arthur Wellesley",
36761,"Batten, Robert, pseud",
874876,"Beale, William",1784-1854
38541,"Beale, William",
39079,"Beauvarlet, Henricus",
39214,"Becchi, Antonio di",
40133,"Beeson, Jack",1921-2010
42290,"Beethoven, Ludwig van",1770-1827
45301,"Bellerby, Edward Johnson",
