,name,wikidata,dates,gender,citizenship,birthplace,birth country,geographical coordinates birthplace,place of death,country of death,geographical coordinates place of death,language,instrument
0,Nicolaus Bruhns,http://www.wikidata.org/entity/Q57369,1665-1697,male,"['Denmark', 'Duchy of Schleswig']",Schwabstedt,Germany,Point(9.187222222 54.395833333),Husum,Germany,Point(9.051111111 54.476944444),German,organ
1,Marc-Antoine Charpentier,http://www.wikidata.org/entity/Q55524,1643-1704,male,Kingdom of France,Paris,France,Point(2.351388888 48.856944444),Paris,France,Point(2.351388888 48.856944444),French,"['organ', 'voice']"
2,Arcangelo Corelli,http://www.wikidata.org/entity/Q164475,1653-1713,male,Papal States,Fusignano,Italy,Point(11.95636 44.46656),Rome,Italy,Point(12.482777777 41.893055555),"['Latin', 'Italian']",violin
3,John Bennet,http://www.wikidata.org/entity/Q374718,1575-1614,male,England,Lancashire,United Kingdom,Point(-2.6 53.8),,,,English,
4,Adriano Banchieri,http://www.wikidata.org/entity/Q347804,1568-1634,male,,Bologna,Italy,Point(11.342777777 44.493888888),Bologna,Italy,Point(11.342777777 44.493888888),Italian,organ
5,Agostino Agazzari,http://www.wikidata.org/entity/Q395563,1578-1640,male,,Siena,Italy,Point(11.331388888 43.318333333),Siena,Italy,Point(11.331388888 43.318333333),Italian,organ
6,Maddalena Casulana,http://www.wikidata.org/entity/Q269690,1544-1590,female,,Casole d'Elsa,Italy,Point(11.0485 43.341111111),,,,,flute
7,Girolamo Dalla Casa,http://www.wikidata.org/entity/Q354023,1543-1601,male,Republic of Venice,Udine,Italy,Point(13.233333333 46.066666666),Venice,Italy,Point(12.331944444 45.439722222),,
8,Thomas Campion,http://www.wikidata.org/entity/Q455618,1567-1620,male,"['England', 'Kingdom of England']",London,United Kingdom,Point(-0.1275 51.507222222),London,United Kingdom,Point(-0.1275 51.507222222),"['Latin', 'English']",
9,Sigismondo D'India,http://www.wikidata.org/entity/Q457145,1582-1629,male,,Naples,Italy,Point(14.25 40.833333333),Modena,Italy,Point(10.92572 44.64582),Italian,
10,Scipione Dentice,http://www.wikidata.org/entity/Q290052,1560-1635,male,,Naples,Italy,Point(14.25 40.833333333),Naples,Italy,Point(14.25 40.833333333),,organ
11,John Dowland,http://www.wikidata.org/entity/Q207355,1563-1626,male,Kingdom of England,London,United Kingdom,Point(-0.1275 51.507222222),London,United Kingdom,Point(-0.1275 51.507222222),English,lute
12,William Byrd,http://www.wikidata.org/entity/Q208375,1543-1623,male,Kingdom of England,London,United Kingdom,Point(-0.1275 51.507222222),Stondon Massey,United Kingdom,Point(0.292 51.681),,organ
13,Giovanni Battista Bassani,http://www.wikidata.org/entity/Q465565,1650-1716,male,Republic of Venice,Padua,Italy,Point(11.877777777 45.406388888),Bergamo,Italy,Point(9.67 45.695),Italian,"['organ', 'violin']"
14,Melchior Borchgrevinck,http://www.wikidata.org/entity/Q469278,1570-1632,male,Denmark,Netherlands,Kingdom of the Netherlands,Point(5.55 52.316666666),Copenhagen,Denmark,Point(12.568888888 55.676111111),,
15,Giulio Caccini,http://www.wikidata.org/entity/Q215308,1551-1618,male,Grand Duchy of Tuscany,Rome,Italy,Point(12.482777777 41.893055555),Florence,Italy,Point(11.254166666 43.771388888),Italian,"['viol', 'voice']"
16,Hans Brachrogge,http://www.wikidata.org/entity/Q472819,1590-1638,male,Denmark,,,,,,,,
17,Giovanni Francesco Anerio,http://www.wikidata.org/entity/Q711181,1567-1630,male,Italians,Rome,Italy,Point(12.482777777 41.893055555),Graz,Austria,Point(15.438611111 47.070833333),Italian,
18,Antonio Cifra,http://www.wikidata.org/entity/Q601590,1584-1629,male,,Province of Latina,Italy,Point(12.903611111 41.4675),Loreto,Italy,Point(13.607430555 43.4403),Italian,
19,Giovanni Bassano,http://www.wikidata.org/entity/Q494292,1558-1617,male,Republic of Venice,,,,Venice,Italy,Point(12.331944444 45.439722222),Latin,
20,Felice Anerio,http://www.wikidata.org/entity/Q549044,1560-1614,male,Italians,Rome,Italy,Point(12.482777777 41.893055555),Rome,Italy,Point(12.482777777 41.893055555),,
21,Filippo Azzaiolo,http://www.wikidata.org/entity/Q717917,1530-1569,male,,Bologna,Italy,Point(11.342777777 44.493888888),Bologna,Italy,Point(11.342777777 44.493888888),,
22,Christoph Demantius,http://www.wikidata.org/entity/Q497554,1567-1643,male,Germany,Liberec,Czech Republic,Point(15.0584492 50.7699972),Freiberg,Germany,Point(13.342777777 50.911944444),German,
23,Gregor Aichinger,http://www.wikidata.org/entity/Q633088,1564-1628,male,Germany,Regensburg,Germany,Point(12.083333333 49.016666666),Augsburg,Germany,Point(10.897777777 48.368888888),German,"['organ', 'pipe organ']"
