,Madrigal,Composer single madrigal,Voices,Keywords,Composer collection,Keywords_en
0,Shall I abide this jesting,Richard Alison,5,"['shall', 'abide', 'jesting']",,"['shall', 'abide', 'jesting']"
1,A garden is my lady's face.,Richard Alison,5,"['garden', 'lady', 'face']",,"['garden', 'lady', 'face']"
2,There is a Garden in her Face,Richard Alison,5,"['garden', 'face']",,"['garden', 'face']"
3,Ah me! Where is my true Love,Felice Anerio,4,"['ah', 'true', 'love']",,"['ah', 'true', 'love']"
4,"When lo, by Break of Morning",Felice Anerio,4,"['break', 'morning']",,"['break', 'morning']"
5,"Deh! dimm', amor",Jacob Arcadelt,4,"['deh', 'dimm', 'amor']",,"['deh', 'dimm', 'amor']"
6, Io dicoche fra noi.,Jacob Arcadelt,4,"['dicoche', 'fra']",,"['say', 'us']"
7,Now spring in all her Glory,Jacob Arcadelt,4,"['spring', 'glory']",,"['spring', 'glory']"
8,Il bianco e dolce cigno,Jacob Arcadelt,4,"['bianco', 'dolce', 'cigno']",,"['white', 'sweet', 'swan']"
9,The Gentle silver Swan,Jacob Arcadelt,4,"['gentle', 'silver', 'swan']",,"['gentle', 'silver', 'swan']"
10,Dalle più alte sfere,Antonio Archilei,,"['alte', 'sfere']",,"['highest', 'echelons']"
11,Madrigale a un dolce usignolo,Adriano Banchieri,,"['madrigale', 'dolce', 'usignolo']",,"['madrigal', 'sweet', 'nightingale']"
12,Se mai provasti donna,Melchiorre de Barberiis,2,"['mai', 'provasti', 'donna']",,"['ever', 'tried', 'woman']"
13,Hark! hear you not a heav'nly Harmony,Thomas Bateson,5,"['hark', 'hear', ""heav'nly"", 'harmony']",,"['hark', 'hear', ""heav'nly"", 'harmony']"
14, Oriana's Farewell.,Thomas Bateson,5,"['oriana', 'farewell']",,"['oriana', 'farewell']"
15,The Nightingale,Thomas Bateson,3,['nightingale'],,['nightingale']
16,"O fly not, Love",Thomas Bateson,5,"['fly', 'love']",,"['fly', 'love']"
17,"Sister, awake!",Thomas Bateson,5,"['sister', 'awake']",,"['sister', 'awake']"
18,Those sweet delightful Lillies.,Thomas Bateson,5,"['sweet', 'delightful', 'lillies']",,"['sweet', 'delightful', 'lillies']"
19,When Oriana walk'd to take the Air.,Thomas Bateson,6,"['oriana', ""walk'd"", 'take', 'air']",,"['oriana', ""walk'd"", 'take', 'air']"
20,Cupid in a Bed of Roses,Thomas Bateson,3; 4; 5; 6 Cantus. (Altus.) (Tenor.) (Bassus.) [Quintus.] (Sextus.),"['cupid', 'bed', 'roses']",,"['cupid', 'bed', 'roses']"
21,Cytherea smiling said,Thomas Bateson,3; 4; 5; 6 Cantus. (Altus.) (Tenor.) (Bassus.) [Quintus.] (Sextus.),"['cytherea', 'smiling', 'said']",,"['cytherea', 'smiling', 'said']"
22,Down the Hills Corina Trips.,Thomas Bateson,3; 4; 5; 6 Cantus. (Altus.) (Tenor.) (Bassus.) [Quintus.] (Sextus.),"['hills', 'corina', 'trips']",,"['hills', 'corina', 'trips']"
23,Have I found her?,Thomas Bateson,3; 4; 5; 6 Cantus. (Altus.) (Tenor.) (Bassus.) [Quintus.] (Sextus.),"['found', 'her?']",,"['found', 'her?']"
24,I heard a Noise.,Thomas Bateson,3; 4; 5; 6 Cantus. (Altus.) (Tenor.) (Bassus.) [Quintus.] (Sextus.),"['heard', 'noise']",,"['heard', 'noise']"
25,Sù sù sù non più dormir.,Henricus Beauvarlet,6,"['sù', 'sù', 'sù', 'dormir']",,['sleeping']
26,All creatures now are merry minded.,John Bennet,5,"['creatures', 'merry', 'minded']",,"['creatures', 'merry', 'minded']"
27,"Lure, Falconers lure!",John Bennet,,"['lure', 'falconers', 'lure']",,"['lure', 'falconers', 'lure']"
28,"Come, Shepherds, follow me.",John Bennet,4,"['shepherds', 'follow']",,"['shepherds', 'follow']"
29,Cruel unkind.,John Bennet,4,"['cruel', 'unkind']",,"['cruel', 'unkind']"
30,I languish to complain me.,John Bennet,4,"['languish', 'complain']",,"['languish', 'complain']"
31,O Grief,John Bennet,4,['grief'],,['grief']
32,"O sleep, fond fancy.",John Bennet,4,"['sleep', 'fond', 'fancy']",,"['sleep', 'fond', 'fancy']"
33,"Sing out, ye Nymphs.",John Bennet,4,"['sing', 'ye', 'nymphs']",,"['sing', 'ye', 'nymphs']"
34,"Thyrsis, sleepest thou.",John Bennet,4,"['thyrsis', 'sleepest', 'thou']",,"['thyrsis', 'sleepest', 'thou']"
35,"Flow, O my Tears.",John Bennet,4,"['flow', 'tears']",,"['flow', 'tears']"
36,"Weep, O mine Eyes.",John Bennet,4,"['weep', 'mine', 'eyes']",,"['weep', 'mine', 'eyes']"
37,When-as I glance.,John Bennet,4,['glance'],,['glance']
38,When as I look'd.,John Bennet,4,"[""look'd""]",,"[""look'd""]"
39,When-as I look'd.,John Bennet,4,"[""look'd""]",,"[""look'd""]"
40,Ch'ami la vita mia,Lelio Bertani,,"[""ch'ami"", 'vita']",,"['love', 'life']"
41,Amatemi ben mio,Melchior Borchgrevinck,,"['amatemi', 'ben']",,"['love', 'dear']"
42, Baci amorosi e cari.,Melchior Borchgrevinck,,"['baci', 'amorosi', 'cari']",,"['kisses', 'loving', 'dear']"
43,Turn Amarillis,Thomas Brewer,3,"['turn', 'amarillis']",,"['turn', 'amarillis']"
44,Melissomelos or Bee's Madrigall,Charles Butler,,"['melissomelos', 'bee', 'madrigall']",,"['melissomelos', 'bee', 'madrigall']"
45,Come let us sing with merry Glee.,William Byrd,5,"['let', 'us', 'sing', 'merry', 'glee']",,"['let', 'us', 'sing', 'merry', 'glee']"
46,This sweet and merry Month of May,William Byrd,4,"['sweet', 'merry', 'month', 'may']",,"['sweet', 'merry', 'month', 'may']"
47,Cast off all doubtful Care.,William Byrd,4,"['cast', 'doubtful', 'care']",,"['cast', 'doubtful', 'care']"
48,While the bright Sun.,William Byrd,4,"['bright', 'sun']",,"['bright', 'sun']"
49,All hail! thou merry Month of May.,William Byrd,6,"['hail', 'thou', 'merry', 'month', 'may']",,"['hail', 'thou', 'merry', 'month', 'may']"
50,This sweet and merry Month.,William Byrd,,"['sweet', 'merry', 'month']",,"['sweet', 'merry', 'month']"
51,Amarilli mia bella,Giulio Caccini,1,"['amarilli', 'bella']",,"['amarilli', 'beautiful']"
52,Fere selvagge.,Giulio Caccini,,"['fere', 'selvagge']",,"['wild', 'feras']"
53,Now tune the viol.,Giuseppe Caimo,,"['tune', 'viol']",,"['tune', 'viol']"
54,If Love love Truth.,Thomas Campion,3,"['love', 'love', 'truth']",,"['love', 'love', 'truth']"
55,Calm was the Air.,Richard Carlton,5,"['calm', 'air']",,"['calm', 'air']"
56,"Come, gentle Swains.",Michael Cavendish,,"['gentle', 'swains']",,"['gentle', 'swains']"
57,Every bush new springing.,Michael Cavendish,5,"['every', 'bush', 'new', 'springing']",,"['every', 'bush', 'new', 'springing']"
58,Ev'ry Bush new springing.,Michael Cavendish,,"[""ev'ry"", 'bush', 'new', 'springing']",,"[""ev'ry"", 'bush', 'new', 'springing']"
59,Every Bush new springing.,Michael Cavendish,,"['every', 'bush', 'new', 'springing']",,"['every', 'bush', 'new', 'springing']"
60,Faustina hath the fairer Face.,Michael Cavendish,,"['faustina', 'hath', 'fairer', 'face']",,"['faustina', 'hath', 'fairer', 'face']"
61,In Flower of April springing.,Michael Cavendish,,"['flower', 'april', 'springing']",,"['flower', 'april', 'springing']"
62,Much it delighted.,Michael Cavendish,,"['much', 'delighted']",,"['much', 'delighted']"
63,To former Joy.,Michael Cavendish,,"['former', 'joy']",,"['former', 'joy']"
64,Wandering in this Place.,Michael Cavendish,,"['wandering', 'place']",,"['wandering', 'place']"
65,Zephyrus brings the Time.,Michael Cavendish,,"['zephyrus', 'brings', 'time']",,"['zephyrus', 'brings', 'time']"
66,Come gentle Swaines.,Michael Cavendish,,"['gentle', 'swaines']",,"['gentle', 'swaines']"
67,Entre vous filles,Jacob Clemens,4,"['entre', 'filles']",,['girls']
68,With Wreaths of Rose and Laurel,William Cobbold,5,"['wreaths', 'rose', 'laurel']",,"['wreaths', 'rose', 'laurel']"
69,With Wreaths of Rose and Laurel.,William Cobbold,5,"['wreaths', 'rose', 'laurel']",,"['wreaths', 'rose', 'laurel']"
70,"When all alone, my pretty Love.",Girolamo Conversi,5,"['alone', 'pretty', 'love']",,"['alone', 'pretty', 'love']"
71,When all alone my pretty love,Girolamo Conversi,,"['alone', 'pretty', 'love']",,"['alone', 'pretty', 'love']"
72,Basciami vita mia.,Giovanni Croce,3,"['basciami', 'vita']",,"['kiss', 'life']"
73,Ecco l'alma beata,Giovanni Croce,10,"['ecco', ""l'alma"", 'beata']",,"['blessed', 'soul']"
74,"Quali di voi scend', O muse",Giovanni Croce,5,"['quali', 'scend', 'muse']",,"['descends', 'muses']"
75,Cinthia il tuo dolce canto,Giovanni Croce,5,"['cinthia', 'dolce', 'canto']",,"['cinthia', 'sweet', 'song']"
76,Cinthia il tuo dolce canto,Giovanni Croce,5,"['cinthia', 'dolce', 'canto']",,"['cinthia', 'sweet', 'song']"
77,"Cynthia, thy Song.",Giovanni Croce,5,"['cynthia', 'thy', 'song']",,"['cynthia', 'thy', 'song']"
78,Ove tra l'herb' ei fiori.,Giovanni Croce,6,"['ove', ""l'herb"", 'ei', 'fiori']",,"['ove', ""l'herb"", 'fiori']"
79,Chi la gagliarda,Baldassare Donato,,['gagliarda'],,['gallant']
80,Quattro dee che'l mondo onora.,Baldassare Donato,4,"['quattro', 'dee', ""che'l"", 'mondo', 'onora']",,"['four', 'goddesses', 'world', 'honors']"
81,Come la notte,Baldassare Donato,4,['notte'],,"['like', 'night']"
82,Dolor se'l mio dolor,Baldassare Donato,4,"['dolor', ""se'l"", 'dolor']",,"['pain', 'pain']"
83,Komm zurück ,John Dowland,4,"['komm', 'zurück']",,['back']
84,Awake sweet Love,John Dowland,4,"['awake', 'sweet', 'love']",,"['awake', 'sweet', 'love']"
85,"Come again, sweet love.",John Dowland,4,"['sweet', 'love']",,"['sweet', 'love']"
86,"Come again, sweet days",John Dowland,4,"['sweet', 'days']",,"['sweet', 'days']"
87,"Come again, sweet Days.",John Dowland,4,"['sweet', 'days']",,"['sweet', 'days']"
88,Kehr' zurück.,John Dowland,4,"['kehr', 'zurück']",,['back']
89,"Now, O now, I needs must part.",John Dowland,4,"['needs', 'must', 'part']",,"['needs', 'must', 'part']"
90,"Sleep, wayward Thoughts!",John Dowland,,"['sleep', 'wayward', 'thoughts']",,"['sleep', 'wayward', 'thoughts']"
91,"Clear, or cloudy.",John Dowland,5,"['clear', 'cloudy']",,"['clear', 'cloudy']"
92,Fine Knacks for ladies.,John Dowland,4,"['fine', 'knacks', 'ladies']",,"['fine', 'knacks', 'ladies']"
93,A Shepherd in a Shade.,John Dowland,4,"['shepherd', 'shade']",,"['shepherd', 'shade']"
94,"Farewell, sweet Woods",Michael East,4 ; 5 ,"['farewell', 'sweet', 'woods']",,"['farewell', 'sweet', 'woods']"
95," Sweet Muses, Nymphs and Shepherds.",Michael East,4 ; 5 ,"['sweet', 'muses', 'nymphs', 'shepherds']",,"['sweet', 'muses', 'nymphs', 'shepherds']"
96,"Hence, Stars.",Michael East,5,"['hence', 'stars']",,"['hence', 'stars']"
97,O come again my Love.,Michael East,,['love'],,['love']
98,In going to my lonely bed,Richard Edwards,,"['going', 'lonely', 'bed']",,"['going', 'lonely', 'bed']"
99,In going to my dreary bed,Richard Edwards,,"['going', 'dreary', 'bed']",,"['going', 'dreary', 'bed']"
100,In going to my lonesome Bed,Richard Edwards,4,"['going', 'lonesome', 'bed']",,"['going', 'lonesome', 'bed']"
101,In going to my naked Bed.,Richard Edwards,4,"['going', 'naked', 'bed']",,"['going', 'naked', 'bed']"
102,In going to my naked Bed,Richard Edwards,,"['going', 'naked', 'bed']",,"['going', 'naked', 'bed']"
103,In going to my lonely Bed,Richard Edwards,,"['going', 'lonely', 'bed']",,"['going', 'lonely', 'bed']"
104,These that be certain Signs,Noé Faignient,4,"['certain', 'signs']",,"['certain', 'signs']"
105,Fair Phillis.,John Farmer,,"['fair', 'phillis']",,"['fair', 'phillis']"
106,Fair Phyllis I saw sitting all alone,John Farmer,4,"['fair', 'phyllis', 'saw', 'sitting', 'alone']",,"['fair', 'phyllis', 'saw', 'sitting', 'alone']"
107,Fair Phyllis I saw.,John Farmer,4,"['fair', 'phyllis', 'saw']",,"['fair', 'phyllis', 'saw']"
108,Bun hyfryd a hoff.,John Farmer,,"['bun', 'hyfryd', 'hoff']",,"['lovely', 'favorite', 'bun']"
109,"I thought, my love, that I should overtake you.",John Farmer,4,"['thought', 'love', 'overtake']",,"['thought', 'love', 'overtake']"
110,To take the air.,John Farmer,4,"['take', 'air']",,"['take', 'air']"
111,To take the Air a bonny Lass was walking.,John Farmer,4,"['take', 'air', 'bonny', 'lass', 'walking']",,"['take', 'air', 'bonny', 'lass', 'walking']"
112,Who would have thought that face?,John Farmer,4,"['would', 'thought', 'face?']",,"['would', 'thought', 'face?']"
113,Fair Nymphs.,John Farmer,6,"['fair', 'nymphs']",,"['fair', 'nymphs']"
114,A Nosegay of Spring flowers.,Giles Farnaby,4,"['nosegay', 'spring', 'flowers']",,"['nosegay', 'spring', 'flowers']"
115,Brown is my love.,Alfonso Ferrabosco,,"['brown', 'love']",,"['brown', 'love']"
116,Sigh not fond Shepherd,Giovanni Ferretti,5,"['sigh', 'fond', 'shepherd']",,"['sigh', 'fond', 'shepherd']"
117,Donna mi fugge,Giovanni Ferretti,5,"['donna', 'fugge']",,"['donna', 'flees']"
118,Down in a flow'ry Vale.,Costanzo Festa,4,"[""flow'ry"", 'vale']",,"[""flow'ry"", 'vale']"
119,Down in a flow'ry Vale,Costanzo Festa,4,"[""flow'ry"", 'vale']",,"[""flow'ry"", 'vale']"
120,Soon as I careless stray'd.,Costanzo Festa,,"['soon', 'careless', ""stray'd""]",,"['soon', 'careless', ""stray'd""]"
121,Quando ritrovo la mia pastorella.,Costanzo Festa,4,"['quando', 'ritrovo', 'pastorella']",,"['find', 'shepherdess']"
122,Quando ritrova.,Costanzo Festa,,"['quando', 'ritrova']",,['finds']
123,Down in a flowery Vale.,Costanzo Festa,4,"['flowery', 'vale']",,"['flowery', 'vale']"
124,Down in a flow'ry Vale,Costanzo Festa,,"[""flow'ry"", 'vale']",,"[""flow'ry"", 'vale']"
125,"Come Phyllis, come unto these Bowers",Thomas Ford,,"['phyllis', 'unto', 'bowers']",,"['phyllis', 'unto', 'bowers']"
126,Fair! Sweet! Cruel! why dost thou fly me!,Thomas Ford,,"['fair', 'sweet', 'cruel', 'dost', 'thou', 'fly']",,"['fair', 'sweet', 'cruel', 'dost', 'thou', 'fly']"
127,Now I see thy Looks were feigned,Thomas Ford,4,"['see', 'thy', 'looks', 'feigned']",,"['see', 'thy', 'looks', 'feigned']"
128,Since first I saw your Face,Thomas Ford,4,"['since', 'first', 'saw', 'face']",,"['since', 'first', 'saw', 'face']"
129,Since first I saw your Face.,Thomas Ford,,"['since', 'first', 'saw', 'face']",,"['since', 'first', 'saw', 'face']"
130,There is a lady sweet & kind.,Thomas Ford,,"['lady', 'sweet', '&', 'kind']",,"['lady', 'sweet', '&', 'kind']"
131,There is a Lady sweet & kind,Thomas Ford,4,"['lady', 'sweet', '&', 'kind']",,"['lady', 'sweet', '&', 'kind']"
132,What then is Love sings Coridon,Thomas Ford,4,"['love', 'sings', 'coridon']",,"['love', 'sings', 'coridon']"
133,Einstmals das Kind Cupido,Daniel Friderici,,"['einstmals', 'kind', 'cupido']",,"['child', 'cupid']"
134,O passi sparsi,Andrea Gabrieli,12,"['passi', 'sparsi']",,"['scattered', 'steps']"
135,Dimmi cieco,Andrea Gabrieli,5,"['dimmi', 'cieco']",,"['tell', 'blind']"
136,"Signor, le tue man sante",Giovanni Gabrieli,5,"['signor', 'sante']",,"['signor', 'kill', 'health']"
137, Vergine il cui figliol.,Giovanni Gabrieli,5,"['vergine', 'figliol']",,"['virgin', 'whose']"
138,Alma cortes'e bella.,Giovanni Gabrieli,,"['alma', ""cortes'e"", 'bella']",,"['alma', 'courteous', 'beautiful']"
139,Lieto godea sedendo,Giovanni Gabrieli,8,"['lieto', 'godea', 'sedendo']",,"['glad', 'enjoy', 'sitting']"
140,Dormiva dolcemente,Giovanni Gabrieli,8,"['dormiva', 'dolcemente']",,"['slept', 'sweetly']"
141,Al mormorar.,Giovanni Giacomo Gastoldi,,['mormorar'],,['dying']
142,Tutti venite armati,Giovanni Giacomo Gastoldi,,"['venite', 'armati']",,"['everyone', 'armed']"
143,Vezzosette ninfe e belle,Giovanni Giacomo Gastoldi,5,"['vezzosette', 'ninfe', 'belle']",,"['charming', 'seven', 'nymphs', 'beauties']"
144,Viver lieto voglio.,Giovanni Giacomo Gastoldi,5,"['viver', 'lieto', 'voglio']",,"['want', 'live', 'happily']"
145,Un nouvo cacciator,Giovanni Giacomo Gastoldi,5,"['nouvo', 'cacciator']",,"['new', 'hunter']"
146,Felice primavera,Carlo Gesualdo,5,"['felice', 'primavera']",,"['happy', 'spring']"
147,O come è gran martire.,Carlo Gesualdo,5,"['gran', 'martire']",,"['great', 'martyr']"
148,Non t'amo ò voce ingrata,Carlo Gesualdo,5,"[""t'amo"", 'ò', 'voce', 'ingrata']",,"['love', 'ò', 'ungrateful', 'voice']"
149,Non t'amo.,Carlo Gesualdo,5,"[""t'amo""]",,['love']
150,Io tacerò.,Carlo Gesualdo,5,['tacerò'],,"['keep', 'silent']"
