BL record ID;Title;Standardised title;Other titles;Composer;Composer life dates;Other names;Publication date (standardised);Country of publication;Place of publication;Publisher;Notes;Contents;Subject/genre terms;Voices;Titles madrigals
4166293;Il Primo Libro de Madrigali a Cinque Voci ... nuouamente posto in luce. Basso;;;Adriani, Francesco;1539-1575;;1570;Italy;Vinegia;Appresso Girolamo Scotto;;;;5;
4166294;Il Secondo Libro de Madrigali a Cinque Voci ... nuouamente posti in luce. Basso;;;Adriani, Francesco;1539-1575;;1570;Italy;Vinegia;Appresso Girolamo Scotto;;;;5;
4166295;Luitmuziek ... Een keuze van fantasieën, dansen, liederen en madrigalen uit Pratum musicum (1584), Novum pratum (1592) en Pratum musicum ii (1600). Edidit ... Godelieve Spiessens;;;Adriansen, Emanuel;1554-1604;Spiessons, Godelieve;1966;Belgium;Antwerpen;Vereniging voor musiekgeschiedenis te Antwerpen;;;;"4; 5; 6";
4166296;Novvm pratvm mvsicvm longo amoenissimvm : cvivs spatiosissimo, eoqve ivcvndissimo ambitv (praeter varii generis aytomata, sev phantasias) comprehendvntur, selectißimi diuersorum autorum & idiomatum madrigales, cantiones, & moduli 4. 5. & 6. vocum. Cantiones trium vocum, quas vulgo neapolitanas aut villaneschas appellant. Variæ cantiones gallicæ, quas vulgò aierosas, vel airs, nempe sonoras vocant: ad animorum hilaritatem prouocantes, auribus longè gratißimæ. Omnis generis choreæ, paßomezi, cum suis vulgo gaillardis, alemandis, courrantis, branlis, & c;Novum pratum musicum;Novum pratum musicum longo amoenissimum;Adriaensen, Emanuel;1550-1604;"Phalèse, Pierre [printer] ; Bellère, Pierre [printer] ; Celano, Giacomo [composer] ; Conversi, Girolamo [composer] ; Faignient, Noé [composer] ; Felis, Stefano [composer] ; Ferretti, Giovanni [composer] ; Gombert, Nicolas [composer] ; Hellinck, Lupus [composer] ; Ingegneri, Marc Antonio [composer] ; Lasso, Orlando di [composer] ; Le Jeune, Claude [composer] ; Marenzio, Luca [composer] ; Nanino, Giovanni Maria [composer] ; Palestrina, Giovanni Pierluigi da [composer] ; Pevernage, André [composer] ; Rore, Cipriano de [composer]";1592;Belgium;"Antverpiæ ; Antwerp";Excudebat Petrus Phalesius sibi & Ioanni Bellero;"Method in lute tabulature followed by solo lute fantasias, songs (madrigals, motets and napolitan cantiones) for lute and 2-4 voices (SATB), and solo lute dance pieces ; In table book format ; With table of contents ; Transcribed title page: NOVVM / PRATVM MVSICVM / LONGE AMOENISSIMVM, CVIVS / SPATIOSSIMO, EOQVE IVCVNDISSIMO / AMBITV (PRÆTER VARII GENERIS AYTOMATA, / SEV PHANTASIAS) COMPREHENDVNTVR / Selectißimi diuersorum Autorum & Idiomatum Madrigales, Cantiones, & Moduli 4. 5. & 6. Vocum. / Cantiones Trium vocum, quas vulgo Neapolitanas aut Villaneschas appellant. / Variæ Cantiones Gallicæ, quas vulgò Aierosas, vel Airs, nempe sonoras vocant: ad animorum / hilaritatem prouocantes, auribus longè gratißimæ. / Omnis generis Choreæ, Paßomezi, cum suis vulgo Gaillardis, Alemandis, Courrantis, Branlis, & c. / Omnia ad Testudinis Tabulaturam fideliter redacta, per id genus Musices / experientissimum Artificem / EMANVELEM HADRIANIVM, ANTVERPIENSEM. / Adiuncta est singulis Carminibus in gratiam eorum qui vivæ Vocis concentu oblectantur / distincta Vocibus aliquot Notularum descriptio. / Tum etiam Methodus ad omnes omnium Tonorum Cantiones, in gratiam illorum, qui in hac arte mediocriter versati, Musicam ad / vnguam non callent, ex harmonico concentu in Scalam Testudinis, facili compendio, proprio ferè ductu redigendas. / Quorum omnium Indicem, & Musicorum unde sumpta sunt Nomina / versa pagina exhibebit. / OPVS PLANE NOVVM, NEC HACTENVS EDITVM. / ANTVERPIÆ, / Excudebat Petrus Phalesius sibi & Ioanni Bellero. / Anno M. D. XCII ; Copy at K.8.g.1. 98 leaves";"Methodvs ad omnes omnivm tonorvm cantiones in scalam testvdinis redigendas / Emanuel Adriani -- Fantasia Prima -- Fantasia Secunda -- Fantasia Tertia -- Fantasia Quarta -- Fantasia Quinta -- Quella che gl’occhi / Gio. Ferretti -- Qual viue Salamandra / Luca Marenzio -- Piangea filli / Luca Marenzio -- Anchor che col partire / Cypriano de Rore -- Ogni beltà / Gio. Palestrina -- Su su su ch’el giorno / Claudin le Jeusne -- Dolce fiammella / Gio. Maria Nanino -- Horva Canzona / Gio. Ferretti -- Me forza / Gio. Ferretti -- Io che tropp’alte amor / Gio. Ferretti -- Sei tanto gratiosa / Gio. Ferretti -- Non al suo amante / Noë Faignient -- Cantai mentre ch’arsi / Cypriano de Rore -- Susanne vn iour / Orlando de Lasso -- Donna crudel / Gio. Ferretti -- Le rossignol / Orlando di Lasso -- Sola solette / Giro. Conuersi -- Vestiua i colli (seconda parte: Cosi le chiome) / Gio. Palestrina -- Susanne vn iour / Claudin le Jeusne -- Tirsi morir volea (seconda parte: Frenò ; terzo parte: Cosi morirò) / Luca Marenzio -- Dolce amorose / Gio. Ferretti -- Non mi togl’ben mio / Marc’Antonio Ingegneri -- Gionto m’hamor / d’Incerto -- Come poss’io morir / Gio. Ferretti -- Che fa hogg’il / Luca Marenzio -- Vn tempo sospiraua / Gio. Ferretti -- Quando mirai / Gio. Ferretti -- La nuit le iour (seconda parte: Hasté le pas) / Andrea Peuernage ; Sonno scendesti (seconda parte: Tu la) / Stefano Felis -- Veni in hortum meum / Orlando de Lasso -- In te Domine speraui (secunda pars: Quoniam) / Lupus Hellinc -- In te Domine speraui (secunda pars: Quoniam) / Orlando de Lasso -- Tulerunt Dominum meum / N. Gombert -- Pater noster / Andrea Peuernage -- Chambriere allez tost -- Nous estions trois ieusne filles -- Dibedibedon la -- La rousée du ioly mois de May -- Par vn matin -- Chi mira gl’occhi -- Tutto lo tempo / Giacomo Celano -- La fiera vista / Luca Marenzio -- Fuggirò tant’amore / Luca Marenzio -- Belle bergere -- Galliarda Prima 1. Toni -- Gailliarda Secunda -- Gailliarda Tertia Englesa -- Gailliarda Quarta -- Gailliarda Quinta -- Passomezo in b mol ex Dlasolre -- Galliarda -- Passomezo in b mol ex Csolfaut -- Galliarda -- Passomezo in bmol ex Ffaut -- Gailliarda -- Passomezo in bmol ex Gsolreut -- Reprinse -- Gailliarda -- Passomezo in b dure ex Ffaut -- Gailliarda -- Passomezo in b dure ex Gsolreut -- Gailliarda -- Passomezo in bdure ex Csolfaut -- Gailliarda -- Passomezo in bdure ex Bfabemi -- Gailliarda -- Passomezo in bdure ex Dlasolre -- Gailliarda -- Almande de la Court -- Reprinse -- Almande de son Altezze -- Almande -- Reprinse -- Courrante -- Branles -- Branle del Campo -- Le grand Ballo du Court -- Branle double -- Fit porta Christi peruia";"Lute--Methods ; Lute music ; Madrigals ; Part songs";"4; 5; 6";
4166297;Pratum Musicum ... cuius ambitu ... comprehenduntur ... Madrigales, & Cantiones 4.5.6 Vocum. Balletti 5. Vocum. Cantiones Trium Vocum ... Variæ ... modulationes. Omnis generis Choreæ, Passomezo cum suis Saltarellis. Gailliardæ, Alemandæ, Branslæ, Courantæ, Voltæ, &c. Omnia ad Testudinis Tabulaturam ... redacta ... Editio noua priori locupletior;;;Adriansen, Emanuel;1554-1604;;1600;Belgium;Antuerpiæ;Ex Typographia Musica Petri Phalesij;"The contents of this edition are different from that of 1592. It contains madrigals by C. de Rore, R. Giovanelli, O. Lasso, N. Faignient, Ferabosco, G. Ferretti, A. Gabrieli, G. de Wert, G. B. Mosto, G. Conversi, G. M. Nanino, G. Prenestini and A. Striggio; and Ballets by G. G. Gastoldi";;;"4; 5; 6";
4166441;Di Agostino Agazzari ... Il Primo Libro de Madrigali a Cinque Voci, con vn Dialogo a Sei, & vn' Pastorale a Otto, a l'vltimo. Nouamente stampato, & dato in luce. Basso;;;Agazzari, Agostino;1578-1640;;1600;Italy;Venetia;Appresso Angelo Gardano;;;;"5; 6; 8";
4166442;Di Agostino Agazzari ... Madrigali a Cinque Voci Con vn Dialogo à Sei, & vn Pastorale à Otto, à l'ultimo. Nouamente stampati et dati in Luce. Tenore. (Basso.);;;Agazzari, Agostino;1578-1640;;1602;Belgium;Anuersa;Appresso Pietro Phalesio;;;;"5; 6; 8";
4166443;Madrigali, a Cinque Voci. Con un Dialogo a Sei, & un' Pastorale à Otto. Nouamente ristampati, & dati in luce. Tenore. (Basso.) (Quinto.);;;Agazzari, Agostino;1578-1640;;1608;Germany (East);Francoforti;Appresso Nicolao Steinio;;;;"5; 6; 8";
4166444;Di Agostino Agazzari ... Madrigali Harmoniosi e Dilettevoli a Sei Voci. Nouamente stampati & dati in Luce. Canto. (Alto.) (Tenore.) (Basso.) (Quinto). (Sesto.);;;Agazzari, Agostino;1578-1640;;1600;;In Anuersa;Appresso Pietro Phalesio;;;;6;
4166987;Sacræ Cantiones, Quatuor, Quinque, Sex, Octo, et Decem Vocum, Cum quibusdam alijs que vocantur Madrigali, cum vive voci, tum omnibus Musicorum Instrumentis accommodatæ. Quintus;;;Aichinger, Gregor;1564-1628;;1590;Italy;Venetijs;Apud Angelum Gardanum;;;;"4; 5; 6; 8; 10";
4170042;"Shall I abide this jesting. Madrigal for five voices; arranged by T. Oliphant";An howres recreation in musicke;;Alison, Richard;1565-1610;Oliphant, Thomas;1847;England;London;;;;;5;Shall I abide this jesting
4170043;Shall I abide this Jesting? Madrigal for S. S. A. T. B. ... Edited by L. Benson;An howres recreation in musicke;;Alison, Richard;1565-1610;;1913;;;;;;;5;Shall I abide this jesting
4170044;"A garden is my lady's face. Madrigal for five voices; arranged by T. Oliphant, [the words by T. Campion.]";An howres recreation in musicke. There is a Garden in her face;;Alison, Richard;1565-1610;Oliphant, Thomas;1847;England;London;;;;;5;A garden is my lady's face.
4170045;There is a Garden in her Face. Madrigal for S. S. A. T. B. words by T. Campion ... Edited by L. Benson;An howres recreation in musicke;;Alison, Richard;1565-1610;;1913;;;;;;;5;There is a Garden in her Face
4174174;Ah me! Where is my true Love. Madrigal ... Arranged and adapted to English words by Thos Oliphant;Canzonette a quattro voci.-Caggia fuoco dal cielo;;Anerio, Felice;1560-1614;Oliphant, Thomas;1835;England;London;Cramer, Addison & Beale;;;;4;Ah me! Where is my true Love
4174175;[A reissue.] Ah me! Where is my true Love. Madrigal, etc;Canzonette a quattro voci.-Caggia fuoco dal cielo;;Anerio, Felice;1560-1614;;1838;England;London;"Calkin & Budd ; T C Bates";;;;4;Ah me! Where is my true Love
4174176;When lo, by Break of Morning. Madrigal;Canzonette a quattro voci.-Quando la vaga Flori;;Anerio, Felice;1560-1614;;1868;;;;;;;4;When lo, by Break of Morning
4174188;Di Felice Anerio ... Il Primo Libro de Madrigali a Cinque Voci. Nouamente Composti, & dati in luce. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.);;;Anerio, Felice;1560-1614;;1587;Italy;Venetia;Presso Giacomo Vincenzi;;;;5;
4174204;Recreatione Armonica. Madrigali a una et doi uoci, etc. Basso, e Tenore;;;Anerio, Giovanni Francesco;1567-1630;;1611;Italy;Venetia;Appresso Angelo Gardano, & Fratelli;;;;"1; 2";
4174395;Primo Libro di Madrigali a quatro a cinque & a sei uoci ... nouamente uenuti in luce. Libro Primo. Cantus. (Altus.) (Tenor.) (Bassus.) (Quintus.);;;Animuccia, Giovanni;1500-1571;;1547;Italy;Venetia;Appresso di Antonio Gardane;The Sextus is printed with the Quintus;;;"4; 5; 6 ";
4174493;Di Annibale Padouano ... Il Primo Libro de Madrigali a Cinque Voci, Nouamente da lui composti, & per A. Gardano posti in luce. A Cinque Voci. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.);;;Annibale, Padovano;1527-1575;;1564;Italy;Venetia;Appresso di Antonio Gardano;;;;5;
4174494;[Four madrigals, transcribed and edited by G. del Valle de Paz.];Il primo libro de madrigali;;Annibale, Padovano;1527-1575;;1933;;;;In: Valle de Paz (G. del) Annibale Padovano, etc;;;;
4175535;Jacobi Arcadelt opera omnia. Edidit Albertus Seay;;;Arcadelt, Jacob;1505-1568;Seay, Albert;1965;United States;Dallas, Tex;American Institute of Musicology;"1. Missa Noe Noe. Missa Ave regina caelorum. Missa De beata virgine. p.v,93. 1965 ; 2. Madrigali, libro primo. ppxxvi. 134. 1970 ; 4. Il terzo libro di madrigali. pp. xxvii. 109. 1968 ; 6. Madrigali libro quinto. pp. xiv. 46. 1967 ; 8. Chansons I. pp xxxvii. 100. 1968 ; 10. Motecta. pp. xviii. 152. 1970";;;;
