Column1,BL record ID,Title,Standardised title,Other titles,Composer,Composer life dates,Other names,Publication date (standardised),Country of publication,Place of publication,Publisher,Notes,Contents,Subject/genre terms
2,4166293,Il Primo Libro de Madrigali a Cinque Voci ... nuouamente posto in luce. Basso,,,Francesco Adriani,1539-1575,,1570,Italy,Venice,Girolamo Scotto,,,
3,4166294,Il Secondo Libro de Madrigali a Cinque Voci ... nuouamente posti in luce. Basso,,,Francesco Adriani,1539-1575,,1570,Italy,Venice,Girolamo Scotto,,,
5,4166296,"Novvm pratvm mvsicvm longo amoenissimvm : cvivs spatiosissimo, eoqve ivcvndissimo ambitv (praeter varii generis aytomata, sev phantasias) comprehendvntur, selectißimi diuersorum autorum & idiomatum madrigales, cantiones, & moduli 4. 5. & 6. vocum. Cantiones trium vocum, quas vulgo neapolitanas aut villaneschas appellant. Variæ cantiones gallicæ, quas vulgò aierosas, vel airs, nempe sonoras vocant: ad animorum hilaritatem prouocantes, auribus longè gratißimæ. Omnis generis choreæ, paßomezi, cum suis vulgo gaillardis, alemandis, courrantis, branlis, & c",Novum pratum musicum,Novum pratum musicum longo amoenissimum,Emanuel Adriaensen,1550-1604,"Phalèse, Pierre [printer] ; Bellère, Pierre [printer] ; Celano, Giacomo [composer] ; Conversi, Girolamo [composer] ; Faignient, Noé [composer] ; Felis, Stefano [composer] ; Ferretti, Giovanni [composer] ; Gombert, Nicolas [composer] ; Hellinck, Lupus [composer] ; Ingegneri, Marc Antonio [composer] ; Lasso, Orlando di [composer] ; Le Jeune, Claude [composer] ; Marenzio, Luca [composer] ; Nanino, Giovanni Maria [composer] ; Palestrina, Giovanni Pierluigi da [composer] ; Pevernage, André [composer] ; Rore, Cipriano de [composer]",1592,Belgium,Antwerp,Pietro Phalesio & Giouanni Bellero,"Method in lute tabulature followed by solo lute fantasias, songs (madrigals, motets and napolitan cantiones) for lute and 2-4 voices (SATB), and solo lute dance pieces ; In table book format ; With table of contents ; Transcribed title page: NOVVM / PRATVM MVSICVM / LONGE AMOENISSIMVM, CVIVS / SPATIOSSIMO, EOQVE IVCVNDISSIMO / AMBITV (PRÆTER VARII GENERIS AYTOMATA, / SEV PHANTASIAS) COMPREHENDVNTVR / Selectißimi diuersorum Autorum & Idiomatum Madrigales, Cantiones, & Moduli 4. 5. & 6. Vocum. / Cantiones Trium vocum, quas vulgo Neapolitanas aut Villaneschas appellant. / Variæ Cantiones Gallicæ, quas vulgò Aierosas, vel Airs, nempe sonoras vocant: ad animorum / hilaritatem prouocantes, auribus longè gratißimæ. / Omnis generis Choreæ, Paßomezi, cum suis vulgo Gaillardis, Alemandis, Courrantis, Branlis, & c. / Omnia ad Testudinis Tabulaturam fideliter redacta, per id genus Musices / experientissimum Artificem / EMANVELEM HADRIANIVM, ANTVERPIENSEM. / Adiuncta est singulis Carminibus in gratiam eorum qui vivæ Vocis concentu oblectantur / distincta Vocibus aliquot Notularum descriptio. / Tum etiam Methodus ad omnes omnium Tonorum Cantiones, in gratiam illorum, qui in hac arte mediocriter versati, Musicam ad / vnguam non callent, ex harmonico concentu in Scalam Testudinis, facili compendio, proprio ferè ductu redigendas. / Quorum omnium Indicem, & Musicorum unde sumpta sunt Nomina / versa pagina exhibebit. / OPVS PLANE NOVVM, NEC HACTENVS EDITVM. / ANTVERPIÆ, / Excudebat Petrus Phalesius sibi & Ioanni Bellero. / Anno M. D. XCII ; Copy at K.8.g.1. 98 leaves",Methodvs ad omnes omnivm tonorvm cantiones in scalam testvdinis redigendas / Emanuel Adriani -- Fantasia Prima -- Fantasia Secunda -- Fantasia Tertia -- Fantasia Quarta -- Fantasia Quinta -- Quella che gl’occhi / Gio. Ferretti -- Qual viue Salamandra / Luca Marenzio -- Piangea filli / Luca Marenzio -- Anchor che col partire / Cypriano de Rore -- Ogni beltà / Gio. Palestrina -- Su su su ch’el giorno / Claudin le Jeusne -- Dolce fiammella / Gio. Maria Nanino -- Horva Canzona / Gio. Ferretti -- Me forza / Gio. Ferretti -- Io che tropp’alte amor / Gio. Ferretti -- Sei tanto gratiosa / Gio. Ferretti -- Non al suo amante / Noë Faignient -- Cantai mentre ch’arsi / Cypriano de Rore -- Susanne vn iour / Orlando de Lasso -- Donna crudel / Gio. Ferretti -- Le rossignol / Orlando di Lasso -- Sola solette / Giro. Conuersi -- Vestiua i colli (seconda parte: Cosi le chiome) / Gio. Palestrina -- Susanne vn iour / Claudin le Jeusne -- Tirsi morir volea (seconda parte: Frenò ; terzo parte: Cosi morirò) / Luca Marenzio -- Dolce amorose / Gio. Ferretti -- Non mi togl’ben mio / Marc’Antonio Ingegneri -- Gionto m’hamor / d’Incerto -- Come poss’io morir / Gio. Ferretti -- Che fa hogg’il / Luca Marenzio -- Vn tempo sospiraua / Gio. Ferretti -- Quando mirai / Gio. Ferretti -- La nuit le iour (seconda parte: Hasté le pas) / Andrea Peuernage ; Sonno scendesti (seconda parte: Tu la) / Stefano Felis -- Veni in hortum meum / Orlando de Lasso -- In te Domine speraui (secunda pars: Quoniam) / Lupus Hellinc -- In te Domine speraui (secunda pars: Quoniam) / Orlando de Lasso -- Tulerunt Dominum meum / N. Gombert -- Pater noster / Andrea Peuernage -- Chambriere allez tost -- Nous estions trois ieusne filles -- Dibedibedon la -- La rousée du ioly mois de May -- Par vn matin -- Chi mira gl’occhi -- Tutto lo tempo / Giacomo Celano -- La fiera vista / Luca Marenzio -- Fuggirò tant’amore / Luca Marenzio -- Belle bergere -- Galliarda Prima 1. Toni -- Gailliarda Secunda -- Gailliarda Tertia Englesa -- Gailliarda Quarta -- Gailliarda Quinta -- Passomezo in b mol ex Dlasolre -- Galliarda -- Passomezo in b mol ex Csolfaut -- Galliarda -- Passomezo in bmol ex Ffaut -- Gailliarda -- Passomezo in bmol ex Gsolreut -- Reprinse -- Gailliarda -- Passomezo in b dure ex Ffaut -- Gailliarda -- Passomezo in b dure ex Gsolreut -- Gailliarda -- Passomezo in bdure ex Csolfaut -- Gailliarda -- Passomezo in bdure ex Bfabemi -- Gailliarda -- Passomezo in bdure ex Dlasolre -- Gailliarda -- Almande de la Court -- Reprinse -- Almande de son Altezze -- Almande -- Reprinse -- Courrante -- Branles -- Branle del Campo -- Le grand Ballo du Court -- Branle double -- Fit porta Christi peruia,Lute--Methods ; Lute music ; Madrigals ; Part songs
6,4166297,"Pratum Musicum ... cuius ambitu ... comprehenduntur ... Madrigales, & Cantiones 4.5.6 Vocum. Balletti 5. Vocum. Cantiones Trium Vocum ... Variæ ... modulationes. Omnis generis Choreæ, Passomezo cum suis Saltarellis. Gailliardæ, Alemandæ, Branslæ, Courantæ, Voltæ, &c. Omnia ad Testudinis Tabulaturam ... redacta ... Editio noua priori locupletior",,,Emanuel Adriansen,1554-1604,,1600,Belgium,Antwerp,Pietro Phalesio,"The contents of this edition are different from that of 1592. It contains madrigals by C. de Rore, R. Giovanelli, O. Lasso, N. Faignient, Ferabosco, G. Ferretti, A. Gabrieli, G. de Wert, G. B. Mosto, G. Conversi, G. M. Nanino, G. Prenestini and A. Striggio; and Ballets by G. G. Gastoldi",,
7,4166441,"Di Agostino Agazzari ... Il Primo Libro de Madrigali a Cinque Voci, con vn Dialogo a Sei, & vn' Pastorale a Otto, a l'vltimo. Nouamente stampato, & dato in luce. Basso",,,Agostino Agazzari,1578-1640,,1600,Italy,Venice,Angelo Gardano,,,
8,4166442,"Di Agostino Agazzari ... Madrigali a Cinque Voci Con vn Dialogo à Sei, & vn Pastorale à Otto, à l'ultimo. Nouamente stampati et dati in Luce. Tenore. (Basso.)",,,Agostino Agazzari,1578-1640,,1602,Belgium,Antwerp,Pietro Phalesio,,,
9,4166443,"Madrigali, a Cinque Voci. Con un Dialogo a Sei, & un' Pastorale à Otto. Nouamente ristampati, & dati in luce. Tenore. (Basso.) (Quinto.)",,,Agostino Agazzari,1578-1640,,1608,Germany (East),Frankfurt am Main,Nicolao Steinio,,,
10,4166444,Di Agostino Agazzari ... Madrigali Harmoniosi e Dilettevoli a Sei Voci. Nouamente stampati & dati in Luce. Canto. (Alto.) (Tenore.) (Basso.) (Quinto). (Sesto.),,,Agostino Agazzari,1578-1640,,1600,Belgium,Antwerp,Pietro Phalesio,,,
11,4166987,"Sacræ Cantiones, Quatuor, Quinque, Sex, Octo, et Decem Vocum, Cum quibusdam alijs que vocantur Madrigali, cum vive voci, tum omnibus Musicorum Instrumentis accommodatæ. Quintus",,,Gregor Aichinger,1564-1628,,1590,Italy,Venice,Angelo Gardano,,,
22,4172580,Li amorosi ardori,,"Hor ch’allegra e ridente ; Che puoi tu farmi, amore ; A Dio titiro mio ; Vorrei lasso ; Ahi se si grida al foco ; Mirami, vita mia ; Lasso non è morir ; Amorose viole ; Con pieta vi rimiro ; Amor, se pur sei Dio ; Perche adoprar catene ; S’una fiamm’un desio ; Bastava il chiaro viso ; Erasi al sole ; In dar natura a voi ; Ben fu l’ape ingegnosa ; Pur mi concesse al fine ; Febbre, ond’hor per le vene ; Deh non chinar a terra",,,"Pia, Livia Sighizzi [dedicatee] ; Corradi, Cesare [compiler] ; Porta, Costanzo ; Giovannelli, Ruggiero ; Piffari, Bartolomeo ; Merulo, Claudio ; Vecchi, Orazio ; Soriano, Francesco ; Wert, Giaches de ; Striggio, Alessandro ; Ingegneri, Marc Antonio ; Marenzio, Luca ; Eremita, Giulio ; Nanino, Giovanni Maria ; Gabrieli, Andrea ; Vinci, Pietro ; Stabile, Annibale ; Palestrina, Giovanni Pierluigi da ; Veggi, Giovanni Agostino ; Gardane (Firm) [publisher]",1583,Italy,Venice,Angelo Gardano,"Collection of madrigals in five parts (SATB5) ; With table of contents ('TAVOLA DELLI MADRIGALI') and dedication in Italian ; Title-page with a woodcut showing the sun and a hand holding a mirror inside an oval with classical decoration. A verse from Petrarca is inscribed on it: ‘CON LA VIRTÚ D’VN SVBITO SPLENDORE’ ; Title from Canto part book title page ; Transcribed title from Canto part book: CANTO / LI AMOROSI ARDORI / DI DIVERSI ECCELLENTISSIMI MVSICI / Nouamente composti, & dati in luce. / LIBRO PRIMO / A CINQVE VOCI / In Venetia Appresso Angelo Gardano / M D LXXXIII ; Pagination: Canto ([i-ii], 1-19, 10, 21, [22] p.), Alto ([i-ii], 1-19, 10, 21, [22] p.), Tenore ([i-ii], 1-19, 10, 21, [22] p.), Basso ([i-ii], 1-19, 10, 21, [22] p.) ; Copy at A.277.b. Canto: 12 leaves; Alto: 12 leaves; Tenore: 12 leaves; Basso: 12 leaves; paper dimensions: Canto (144 x 200 mm), Alto (144 x 200 mm), Tenore (143 x 202 mm), Basso (145 x 198 mm)",Hor ch’allegra e ridente La bella Dea di Gnido Tempra l’ardor de suoi caldi sospiri / Costanzo porta -- Che puoi tu farmi Amore s’in me non e piu’l core / Rugiero Giouanelli -- A Dio Titiro mio Piouan gratie e fauori al tuo desio / Bartolomeo Piffari -- Vorrei lasso Esser la terra ond’io Basciassi il piede al bel idolo mio / Claudio da Correggio -- Ahi se si grida al foco Turba infinita arriua / Oratio Vecchi -- Mirami uita mia mirami un poco Co’diuin occhi tuoi / Claudio da Correggio -- Lasso non e morir l’uscir di uita Ma l’amare e’l languire / Francesco Soriano -- Amorose uiole ch’hauete il nome della Donna mia (seconda parte: Qvanto lieto ui miro Membrando la cagion del mio martiro) / Giaches Vuert -- Con pieta ui rimiro Pallidette uiole Pur dianzi ruggiandose / Alessandro Striggio -- Amor se pur sei Dio Dei esser giusto parimente / Marc’Antonio Ingegnieri -- Perche adoprar catene se preso il cor uostra belta mi tiene / Luca Marenzio -- S’vna fiamm’un desio Incende e moue lo tuo core e’l mio / Giulio Heremita -- Bastaua il chiaro uiso E la candida mano Per far ch’amor mai non tirasse in uano / Gio. Maria Nanino -- Erasi al sole il mio bel sole assiso che pari altri non troua / Costanzo Porta -- In dar Natura a uoi spoglia si cara Vinse in belta non ch’altri anco se stessa (seconda parte: Onde gran tempo gia mi stringe Amore) / Andrea Gabrielli -- Ben fu l’ape ingegnosa Che ui puns’il bel uiso / Pietro Vinci -- Pvr mi concesse al fine Ch’io ua gheggiassi un giorno / Anibal Stabile -- Febre ond’hor per le uene il ghiaccio corre Hor bolle intorno al core / Gianetto da Palestrina -- Deh non chinar a terra Alza I begli occhi homai / Gioan’Agostino Veggi,"Madrigals, Italian--16th century"
